platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
FC,Family Computer,洛依德默示录,Zoids Mokushiroku,ゾイド黙示録,1990年12月21日,,,Tomy,,https://zh.wikipedia.org/wiki/Tomy
FC,Family Computer,大怪兽得普拉斯,Dai Kaijuu - Deburas,大怪獣デブラス,1990年12月21日,,,Data East,,
FC,Family Computer,冰城传奇：未知的故事,The Bard's Tale - Tales of the Unknown,バーズテイル 知られざる物語,1990年12月21日,,,波丽佳音,,
FC,Family Computer,SD钢弹扭蛋战士3：英雄战记,SD Gundam - Gachapon Senshi 3 - Eiyuu Senki,SDガンダムワールド ガチャポン戦士3 英雄戦記,1990年12月22日,,,万代,,
FC,Family Computer,武藏冒险,Musashi no Bouken,ムサシの冒険,1990年12月22日,,,シグマ商事,,
FC,Family Computer,新魔鬼克星2,New Ghostbusters 2,NEWゴーストバスターズ2,1990年12月26日,,,HAL研究所,,
FC,Family Computer,蛋王子2,Adventures of Lolo 2,アドベンチャーズ オブ ロロII,1990年12月26日,,,HAL研究所,,
FC,Family Computer,爆笑爱剧场,Bakushou Ai no Gekijou,爆笑!愛の劇場,1990年12月29日,,,Coconuts Japan,,
FC,Family Computer,超编时空物语/十兵卫大冒险,Juvei Quest,じゅうべえくえすと,1991年1月4日,,,南梦宫,,https://zh.wikipedia.org/wiki/%E5%8D%97%E6%A2%A6%E5%AE%AB
FC,Family Computer,科乐美世界2,Wai Wai World 2 - SOS!! Paseri Jou,ワイワイワールド2 SOS!!パセリ城,1991年1月5日,,,科乐美,,https://zh.wikipedia.org/wiki/%E7%A7%91%E6%A8%82%E7%BE%8E%E6%95%B8%E4%BD%8D%E5%A8%9B%E6%A8%82
FC,Family Computer,企鹅梦物语,Yume Penguin Monogatari,夢ペンギン物語,1991年1月25日,,,科乐美,,
FC,Family Computer,成龙之龙,Jackie Chan,ジャッキーチェン,1991年1月25日,,,Hudson Soft,,https://zh.wikipedia.org/wiki/Hudson_Soft
